,rating
0,"<span class=""ipl-rating-star__rating"">8.8</span>"
1,"<span class=""ipl-rating-star__rating"">8.9</span>"
2,"<span class=""ipl-rating-star__rating"">8.6</span>"
3,"<span class=""ipl-rating-star__rating"">9.2</span>"
4,"<span class=""ipl-rating-star__rating"">8.5</span>"
5,"<span class=""ipl-rating-star__rating"">8</span>"
6,"<span class=""ipl-rating-star__rating"">9</span>"
7,"<span class=""ipl-rating-star__rating"">9.3</span>"
8,"<span class=""ipl-rating-star__rating"">8</span>"
9,"<span class=""ipl-rating-star__rating"">8.5</span>"
10,"<span class=""ipl-rating-star__rating"">9</span>"
11,"<span class=""ipl-rating-star__rating"">8.5</span>"
12,"<span class=""ipl-rating-star__rating"">8.4</span>"
13,"<span class=""ipl-rating-star__rating"">8.8</span>"
14,"<span class=""ipl-rating-star__rating"">8.8</span>"
15,"<span class=""ipl-rating-star__rating"">9</span>"
16,"<span class=""ipl-rating-star__rating"">7.9</span>"
17,"<span class=""ipl-rating-star__rating"">7.7</span>"
18,"<span class=""ipl-rating-star__rating"">7.4</span>"
19,"<span class=""ipl-rating-star__rating"">7.7</span>"
20,"<span class=""ipl-rating-star__rating"">7.9</span>"
21,"<span class=""ipl-rating-star__rating"">8.5</span>"
22,"<span class=""ipl-rating-star__rating"">8.4</span>"
23,"<span class=""ipl-rating-star__rating"">8.2</span>"
24,"<span class=""ipl-rating-star__rating"">8.1</span>"
25,"<span class=""ipl-rating-star__rating"">7.9</span>"
26,"<span class=""ipl-rating-star__rating"">8.2</span>"
27,"<span class=""ipl-rating-star__rating"">7.6</span>"
28,"<span class=""ipl-rating-star__rating"">7.5</span>"
29,"<span class=""ipl-rating-star__rating"">8.5</span>"
30,"<span class=""ipl-rating-star__rating"">7.6</span>"
31,"<span class=""ipl-rating-star__rating"">8.3</span>"
32,"<span class=""ipl-rating-star__rating"">7.6</span>"
33,"<span class=""ipl-rating-star__rating"">8.1</span>"
34,"<span class=""ipl-rating-star__rating"">8.2</span>"
35,"<span class=""ipl-rating-star__rating"">7.8</span>"
36,"<span class=""ipl-rating-star__rating"">8.5</span>"
37,"<span class=""ipl-rating-star__rating"">7.6</span>"
38,"<span class=""ipl-rating-star__rating"">8.6</span>"
39,"<span class=""ipl-rating-star__rating"">8.2</span>"
40,"<span class=""ipl-rating-star__rating"">7.3</span>"
41,"<span class=""ipl-rating-star__rating"">7.9</span>"
42,"<span class=""ipl-rating-star__rating"">7.7</span>"
43,"<span class=""ipl-rating-star__rating"">7.4</span>"
44,"<span class=""ipl-rating-star__rating"">7.4</span>"
45,"<span class=""ipl-rating-star__rating"">7.6</span>"
46,"<span class=""ipl-rating-star__rating"">7.9</span>"
47,"<span class=""ipl-rating-star__rating"">8.7</span>"
48,"<span class=""ipl-rating-star__rating"">8.3</span>"
49,"<span class=""ipl-rating-star__rating"">7.6</span>"
